new_path,old_path,purpose,SHA256_before,copied_or_adapted,notes
config/competition.yaml,C:/Users/Admin/Desktop/OZON-E-CUP/src/config.py,Competition dates folds weights seed and defaults,8dd82be5291da32971ac285b13e3eb02c5702bc0e5eaec9152e7002159dcf324,adapted,Paths removed and moved to local YAML
src/settings.py,C:/Users/Admin/Desktop/OZON-E-CUP/src/config.py,External path and competition config loader,8dd82be5291da32971ac285b13e3eb02c5702bc0e5eaec9152e7002159dcf324,adapted,No import-time directory writes
src/data/loaders.py,C:/Users/Admin/Desktop/OZON-E-CUP/src/data.py,Single raw data loading boundary,af9583283b2fca45eac4eed920ccf69bee7c331d6f5a83be17eb770903fd1f46,adapted,Reads configurable external paths
src/features/canonical.py,C:/Users/Admin/Desktop/OZON-E-CUP@HEAD/src/features.py,Canonical cutoff-safe feature and target generation,63fdd1200f4e766eedf969857137c3f2188fb3935e3abd207cd4496ac94f98ce,adapted,Used clean HEAD version; excluded later opt-in failed experiment features and ptime branch
src/metrics/rmsle.py,C:/Users/Admin/Desktop/OZON-E-CUP/src/validation.py,RMSLE log-space calibration and wCV,69fe796af2ec03b870ad982df8aacaaeca445ef875a953c5b5ac1d999725956e,adapted,Metric logic retained and split from folds
src/validation/folds.py,C:/Users/Admin/Desktop/OZON-E-CUP/src/validation.py,Canonical cutoff and fold construction,69fe796af2ec03b870ad982df8aacaaeca445ef875a953c5b5ac1d999725956e,adapted,Dates and weights sourced from competition YAML
src/validation/evaluate.py,C:/Users/Admin/Desktop/OZON-E-CUP/src/report.py,Unified OOF evaluation and key-safe baseline comparison,651a606beda74bcfe0fc16dc8ffc6bed336ddb5ee13d8ebb5b8cdb176f295da3,adapted,Standardized field names and explicit alignment
src/models/tabular.py,C:/Users/Admin/Desktop/OZON-E-CUP/src/models.py,Direct two-part distribution and CatBoost families,c0dd7b75dc15d72a12b2f2c672ca6f7050f02034e0763fc8057d1e7b9db0ada4,adapted,Seed and model defaults read from competition YAML
src/validation/workflow.py,C:/Users/Admin/Desktop/OZON-E-CUP/src/train.py,End-to-end challenger OOF and TEST workflow,15f088a12e6870873d50993c2757652f1d69c8178f0338c40c687a157356ae68,adapted,Removed historical ablations and logging side effects
src/blending/align.py,C:/Users/Admin/Desktop/OZON-E-CUP/src/blend.py,Key-safe OOF alignment and log-space blending,de0c325c07425ef23e107675816f4ee7fca0bbfc2ca88193d15cbfb18197d739,adapted,No weight optimization or submission geometry
artifacts/oof/EXP_037_STRONGEST_CURRENT.parquet,C:/Users/Admin/Desktop/OZON-E-CUP/artifacts/oof_S1-E03a.npz,Canonical baseline CAP component,38fb0270611250934130730f92b37345a982fcdaddda9d0b387e7878e0e6d525,adapted,Weight 0.10; row-aligned and converted to standardized Parquet
artifacts/oof/EXP_037_STRONGEST_CURRENT.parquet,C:/Users/Admin/Desktop/OZON-E-CUP/artifacts/oof_S1-E02.npz,Canonical baseline UNC component,2a8e543f4e5a2362eeaf2e8136d2f5204e4c2d83874276499711fd9dcac874ff,adapted,Weight 0.20; row-aligned and converted to standardized Parquet
artifacts/oof/EXP_037_STRONGEST_CURRENT.parquet,C:/Users/Admin/Desktop/OZON-E-CUP/artifacts/oof_S1-DIST.npz,Canonical baseline DIST component,7ef1251928305bd80040a63723cf0a3669e8a37411664b26bf0c0777e8dd4c4e,adapted,Weight 0.25; row-aligned and converted to standardized Parquet
artifacts/oof/EXP_037_STRONGEST_CURRENT.parquet,C:/Users/Admin/Desktop/OZON-E-CUP/artifacts/oof_SEQ-AVG3.npz,Canonical baseline SEQ component,8e8ec7907587406de1224555a42e11803b98f79492ac124b2fd136f6e8ac646c,adapted,Weight 0.225; row-aligned and converted to standardized Parquet
artifacts/oof/EXP_037_STRONGEST_CURRENT.parquet,C:/Users/Admin/Desktop/OZON-E-CUP/artifacts/oof_ETX-AVG3.npz,Canonical baseline ETX component,890aef1a0967df5fb70b4546dadb77b70b4aafa08f4cae6a31a3a030f3e7bf2f,adapted,Weight 0.225; row-aligned and converted to standardized Parquet
