source,target,edge_type,recipe_or_change,evidence,confidence
baseline_recipe:independent_anniversary:strongest-current-pseudo-production-reconstruction,independent_anniversary:EXP-058,baseline_to_change,add exact prior-year target-window features with shuffled and shifted matched controls,experiments/independent_anniversary/exp_058_exact_anniversary.md,tier2_machine_artifacts+primary_report
baseline_recipe:independent_calendar:domain-01-fixed-l180-real-test-domain-classifier,independent_calendar:EXP-029,baseline_to_change,run 9 historical fixed-support placebo transitions and real120d comparator,experiments/independent_calendar/exp_029_calendar_placebo.md,tier2_machine_artifacts+primary_report
baseline_recipe:independent_domain:s1-rounds-direct-and-seq-01-mix-production-ranking,independent_domain:EXP-028,baseline_to_change,strict OOF domain classifiers and one behavior-weighted training adaptation,experiments/independent_domain/exp_028_domain_shift.md,tier2_machine_artifacts+primary_report
baseline_recipe:independent_global_regime:re-anchored-table-core-overlay-friend-strongest-current-reference,independent_global_regime:EXP-057,baseline_to_change,add 140 global/user-relative/interaction features versus architecture-matched placebo,experiments/independent_global_regime/exp_057_global_regime_occ.md,tier2_machine_artifacts+primary_report
baseline_recipe:independent_renewal:seq-01-mix-with-existing-b30-occurrence-head,independent_renewal:EXP-027,baseline_to_change,add KM renewal baseline and 88-feature LightGBM purchase clock; test replacement/meta roles,experiments/independent_renewal/exp_027_next_purchase_clock.md,tier2_machine_artifacts+primary_report
baseline_recipe:team_a_current:candidate-rankings-from-prior-artifact-only-searches,team_a_current:EXP-048,baseline_to_change,measure mismatch between pseudo-matched 3-fold and standard selection,experiments/team_a_current/exp_048_selection_mismatch_cv.md,machine_artifact_or_run_metric_plus_primary_report
baseline_recipe:team_a_current:d3a-seed42-standalone-and-current-sequence-slot,team_a_current:EXP-036,baseline_to_change,train sparse-event Transformer component,experiments/team_a_current/exp_036_etx_sparse_event_transformer.md,machine_artifact_or_run_metric_plus_primary_report
baseline_recipe:team_a_current:e10-direct-at-600-rounds,team_a_current:EXP-017,baseline_to_change,evaluate boosting rounds; select 300 for production,experiments/team_a_current/exp_017_capacity_curve.md,high
baseline_recipe:team_a_current:e10-e03a-e02-dist-at-standard-gap,team_a_current:EXP-019,baseline_to_change,evaluate fixed k=5 under actual gaps 35/63/91/126,experiments/team_a_current/exp_019_gap_axis.md,machine_artifact_or_run_metric_plus_primary_report
baseline_recipe:team_a_current:existing-dist-training-construction,team_a_current:EXP-028,baseline_to_change,proposed 13 fresh cutoffs; audit selection timing before training,experiments/team_a_current/exp_028_fresh_dist_mix.md,machine_artifact_or_run_metric_plus_primary_report
baseline_recipe:team_a_current:existing-final-prediction,team_a_current:EXP-060,baseline_to_change,apply fixed global level shift -0.06,experiments/team_a_current/exp_060_level_minus_006.md,machine_artifact_or_run_metric_plus_primary_report
baseline_recipe:team_a_current:external-teammate-pipeline,team_a_current:EXP-067,baseline_to_change,reconstruct exact test CSV and recipe lineage for reported latest solution,experiments/team_a_current/exp_067_authoritative_latest_integration.md,machine_artifact_or_run_metric_plus_primary_report
baseline_recipe:team_a_current:fresh-local-sequence-base-on-fold-2025-10-16,team_a_current:EXP-029,baseline_to_change,availability augmentation variants B and A25,experiments/team_a_current/exp_029_seq_avail_aug.md,machine_artifact_or_run_metric_plus_primary_report
baseline_recipe:team_a_current:historical-recency-ridge-pipeline,team_a_current:EXP-068,baseline_to_change,attempt exact replay and bind historical CSV/LB to prediction helpers,experiments/team_a_current/exp_068_recency_ridge_predictions.md,machine_artifact_or_run_metric_plus_primary_report
