experiment_id,namespace,local_id,canonical_name,family_inferred,date_reported,hypothesis_reported,change_reported,facts_reported,interpretation_reported,config_reported,cv_candidate,delta_candidate,lb_candidate,runtime_candidate,verdict_reported,source_ref,source_path,clean_evidence_path,sha256,evidence_tier
team_a_current:exp_001,team_a_current,exp_001,exp_001 — S1-B0: воспроизводимый бейзлайн,train_example_construction,2026-08-10,"Нужна контрольная точка, с которой сравниваются все компоненты Strategy 1.
Берём «типовой» пайплайн, который получится у участника, идущего строго по
`DISCRIPTION.md`: агрегаты по окнам 7/14/30/60/90/180/365 **плюс «весь доступный
период»**, панель «активен за последние 30 дней», обучение на 3 ближайших
cutoff'ах, LightGBM с L2 на `log1p(y)`.",Ничего — это и есть база.,"| фолд | n | RMSLE | bias |
|------|---|-------|------|
| 2025-09-04 | 188 518 | 1.78975 | −0.1986 |
| 2025-09-18 | 191 025 | 1.77428 | −0.1084 |
| 2025-10-02 | 193 694 | 1.75873 | −0.0285 |
| 2025-10-16 | 197 379 | 1.75240 | −0.0734 |

- **CV mean 1.76879, std 0.01448**
- OOF 1.76861, bias −0.1022, после оптимального сдвига −0.100 → 1.76570
- runtime 157 с (4 фолда)","Принято как **B0**. Все дальнейшие дельты считаются от 1.76879.

Отрицательный bias на всех фолдах означает, что модель **перепрогнозирует** уже
на разрыве 35 дней, и тем сильнее, чем дальше фолд от обучения — это первый
признак out-of-time дрейфа, который позже измеряется в S1-E11.","```
L=None (без усечения), min_history=90, cutoffs=recent3, step=7
train_blocks=1 (наивная панель), panel_blocks=3 (валидация)
LightGBM: lr 0.05, num_leaves 127, min_data_in_leaf 200, feature_fraction 0.7,
bagging 0.8/1, lambda_l2 5, max_bin 63, 600 раундов, seed 42 (config.SEED)
236 признаков
```

Воспроизведение:

```bash
python -m src.train --exp S1-B0 --L 0 --min-history 90 --train-blocks 1 --cutoffs recent3
```",unknown,unknown,unknown,unknown,unknown,WORKTREE,experiments/exp_001_s1_b0_baseline.md,experiments/team_a_current/exp_001_s1_b0_baseline.md,f8a0c72032933de49d7d41aad54878764899caaf045643a2830c5e8c8e9ae654,7_primary_experiment_report
team_a_current:exp_002,team_a_current,exp_002,exp_002 — S1-E01: переприменение 3-блочного правила панели на обучении,train_example_construction,2026-08-10,unknown,"Только панель **обучающих** cutoff'ов: 1-блочная → 3-блочная.
Панель валидации в обоих случаях 3-блочная.","| фолд | B0 (train 1-блок) | E01 (train 3-блока) | Δ |
|------|-------------------|---------------------|---|
| 2025-09-04 | 1.78975 | 1.79156 | +0.00181 |
| 2025-09-18 | 1.77428 | 1.77452 | +0.00024 |
| 2025-10-02 | 1.75873 | 1.75982 | +0.00109 |
| 2025-10-16 | 1.75240 | 1.75332 | +0.00092 |
| **CV mean** | **1.76879** | **1.76981** | **+0.00102** |

bias: −0.1022 (B0) против −0.1064 (E01) — практически одинаков.
Размер обучающей выборки: 627 244 → 549 298 строк.","**REJECT.** Гипотеза стратегии **опровергнута экспериментально**.

Переприменение правила панели на обучении не улучшает, а слегка **ухудшает** CV,
причём последовательно на 4 фолдах из 4.

Причина: разница уровня 0.198 — это **маргинальная**, а не **условная** разница.
1-блочная панель является надмножеством 3-блочной, и она отличается составом
пользователей, который модель и так видит в признаках (частота покупок, recency,
число активных дней). Условное матожидание `E[z | x]` от панели не зависит,
поэтому обучение на надмножестве просто даёт **на 14% больше данных** — и выигрывает.

Что из гипотезы **остаётся в силе**: панель **валидации** обязана быть 3-блочной.
Иначе RMSLE считается по другой популяции и несопоставим с leaderboard.
Это правило зафиксировано в протоколе и соблюдается во всех экспериментах.","```
L=None, min_history=90, cutoffs=recent3, train_blocks=3, panel_blocks=3
остальное — как в B0
```

```bash
python -m src.train --exp S1-E01 --L 0 --min-history 90 --cutoffs recent3
```",unknown,unknown,unknown,unknown,reject,WORKTREE,experiments/exp_002_s1_e01_panel_rule.md,experiments/team_a_current/exp_002_s1_e01_panel_rule.md,0526aa077ab803ed7ef56f7cb8504184cc281604536b9f386f45a62b24831795,7_primary_experiment_report
team_a_current:exp_003,team_a_current,exp_003,exp_003 — S1-E02: плотная сетка cutoff'ов,train_example_construction,2026-08-10,unknown,"`cutoffs: recent3 → all` (18–24 cutoff'а в зависимости от фолда вместо 3).
Всё остальное — как в B0.","| фолд | B0 (3 cutoff'а) | E02 (все, шаг 7) | Δ | bias B0 → E02 |
|------|-----------------|------------------|---|----------------|
| 2025-09-04 | 1.78975 | 1.78022 | **−0.00953** | −0.1986 → −0.1757 |
| 2025-09-18 | 1.77428 | 1.76760 | **−0.00668** | −0.1084 → −0.1085 |
| 2025-10-02 | 1.75873 | 1.75316 | **−0.00557** | −0.0285 → −0.0319 |
| 2025-10-16 | 1.75240 | 1.74630 | **−0.00610** | −0.0734 → −0.0639 |
| **CV mean** | **1.76879** | **1.76182** | **−0.00697** | |

- CV std 0.01448 → 0.01311
- OOF 1.76861 → 1.76165, bias −0.1022 → −0.0950
- обучающая выборка: 0.63 млн → 3.7–5.0 млн строк
- runtime 157 с → 733 с","**KEEP.** Улучшение −0.00697 при пороге значимости 0.005, причём на **4 фолдах из 4**
и с уменьшением разброса между фолдами. Ровно в предсказанном стратегией диапазоне.

Это самый крупный подтверждённый прирост в Strategy 1 из «структурных» изменений
и он же — самый дешёвый по риску: никаких новых признаков, только другое устройство
обучающей выборки.

Цена: обучение в 4.7 раза дольше.","```
L=None, min_history=90, cutoffs=all, step=7, train_blocks=1, panel_blocks=3
LightGBM как в B0, 600 раундов, seed 42
```

```bash
python -m src.train --exp S1-E02 --L 0 --min-history 90 --train-blocks 1 --cutoffs all
```",unknown,unknown,unknown,unknown,keep,WORKTREE,experiments/exp_003_s1_e02_dense_cutoffs.md,experiments/team_a_current/exp_003_s1_e02_dense_cutoffs.md,249f7c9bb6bfdfbf3a26bfc68a544005621113457bf0044ed08c44f87d54acf8,7_primary_experiment_report
team_a_current:exp_004,team_a_current,exp_004,exp_004 — S1-E03: фиксированная глубина истории `L`,other_or_unknown,2026-08-10,unknown,unknown,"| эксперимент | L | min_history | cutoff'ов | признаков | CV mean | CV std | bias | CV после сдвига |
|-------------|---|-------------|-----------|-----------|---------|--------|------|------------------|
| S1-E02 | нет | 90 | 29 | 236 | **1.76182** | 0.01311 | −0.0950 | 1.75913 |
| S1-E03a | 180 | 90 | 29 | 195 | 1.76787 | **0.00840** | −0.0690 | 1.76640 |
| S1-E03b | 180 | 180 | 16 | 195 | 1.76999 | 0.00981 | −0.0665 | 1.76861 |
| S1-E03c | 90 | 90 | 29 | 165 | 1.79931 | 0.00852 | **−0.0131** | 1.79914 |
| S1-E03d | 270 | 90 | 29 | 225 | см. log.csv | | | |

Дополнительно (S1-E04, скрининг на 2 последних фолдах) — разложение эффекта:

| конфигурация | CV (2 фолда) | Δ к E02 |
|--------------|--------------|---------|
| E02, полный uncapped набор | 1.74973 | — |
| E04, uncapped **минус** длинные признаки (41 шт) | 1.75705 | +0.00732 |
| E03a, полное усечение до 180 дней | 1.75997 | +0.01024 |","**MODIFY.** Гипотеза о механизме подтверждена, но предложенное лечение оказалось
слишком дорогим, и найдено лучшее.

Что подтвердилось:

1. Усечение действительно снижает смещение (−0.095 → −0.069 при `L = 180`,
   −0.013 при `L = 90`) и **резко стабилизирует фолды** (std 0.0131 → 0.0084).
2. Длинные окна несут реальный сигнал: их удаление стоит **+0.0073**, а укорочение
   до 90 дней — катастрофические **+0.037**. Это согласуется с `e08`, где топ-признаки
   по gain — `w180_days_buy`, `w180_orders`, `w90_days_buy`.

Что опровергнуто:

3. Цена усечения в локальном CV оказалась **вдвое выше** обещанной стратегией:
   +0.0061 при `L = 180` вместо +0.003…+0.006, и это при том, что коридор был плотным.
4. `L = 90` («минимум смещения») — провал: +0.0375 к RMSLE. Правило «выбирать L по
   минимуму смещения» из стратегии привело бы к худшей из проверенных конфигураций.
5. Строгое требование «полное окно `L` доступно на каждом cutoff'е» (E03b) хуже,
   чем допустить неполные окна на старых cutoff'ах ради 29 cutoff'ов вместо 16:
   1.76999 против 1.76787. Данные снова важнее чистоты определения.

**Найденная замена (S1-E10).** Измерено, что `all_*` **побитово совпадают** с `w365_*`
на каждом обучающем cutoff'е (доступно 92..289 дней < 365, max|разница| = 0) и
расходятся **только на тесте** (409 дней). То есть `all_*` и `lifetime_*` не несут
в обучении никакой информации сверх `w365_*`, а на тесте ведут себя иначе —
чистый риск без выгоды. Отсюда правка: выбросить `all_*`/`lifetime_*`, а `w365_*`
нормировать множителем `365 / min(365, доступная история)`, `tenure` и `first_buy_age`
заменить долями от доступной истории. Сигнал длинного окна сохраняется, артефакт
глубины — уходит. Результат — в `exp_005`.","```bash
python -m src.train --exp S1-E03a --L 180 --min-history  90 --train-blocks 1 --cutoffs all
python -m src.train --exp S1-E03b --L 180 --min-history 180 --train-blocks 1 --cutoffs all
python -m src.train --exp S1-E03c --L  90 --min-history  90 --train-blocks 1 --cutoffs all
python -m src.train --exp S1-E03d --L 270 --min-history  90 --train-blocks 1 --cutoffs all
python -m src.train --exp S1-E04  --L 0   --min-history  90 --train-blocks 1 --cutoffs all --drop long --folds 2
```",unknown,unknown,unknown,unknown,unknown,WORKTREE,experiments/exp_004_s1_e03_history_depth.md,experiments/team_a_current/exp_004_s1_e03_history_depth.md,473fea4f774b69f38d516f2778f9db70fb3a0f2d480b0191a48dd04a3e6a672c,7_primary_experiment_report
team_a_current:exp_005,team_a_current,exp_005,"exp_005 — S1-E10: длинные окна, нормированные на доступную глубину истории",train_example_construction,2026-08-10,"`exp_004` показал развилку: длинные окна несут реальный сигнал (их удаление стоит
+0.0073, укорочение до 90 дней — +0.0305), но именно они дают adversarial AUC 0.99
против теста. Значит лечить надо не длину окна, а **несопоставимость** его между
cutoff'ами.

Наблюдение, из которого выросла правка: на cutoff'е доступно `T − 2025-01-01` дней,
то есть 92..289 в коридоре и 409 на тесте. Поэтому `w365_*` — это сумма за
`min(365, avail)` дней, а не за 365.

Проверено кодом: `all_*` **побитово совпадают** с `w365_*` на каждом обучающем
cutoff'е (`max|разница| = 0` для `days_present`, `days_buy`, `gmv`, `orders`,
`searches`) и расходятся **только на тесте**. То есть `all_*` и производные
`lifetime_*` не несут в обучении ни бита информации сверх `w365_*`, а на тесте
ведут себя иначе — чистый риск без выгоды.",unknown,"| фолд | E02 (uncapped) | E10 (нормированные) | Δ | bias E02 → E10 |
|------|----------------|---------------------|---|-----------------|
| 2025-09-04 | 1.78022 | 1.77429 | **−0.00593** | −0.1757 → −0.0882 |
| 2025-09-18 | 1.76760 | 1.76617 | −0.00143 | −0.1085 → −0.0532 |
| 2025-10-02 | 1.75316 | 1.75356 | +0.00040 | −0.0319 → −0.0326 |
| 2025-10-16 | 1.74630 | 1.74550 | −0.00080 | −0.0639 → −0.0439 |
| **CV mean** | **1.76182** | **1.75988** | **−0.00194** | −0.0950 → **−0.0545** |

OOF 1.76165 → 1.75973; после оптимального сдвига 1.75913 → 1.75889.
Уровень прогноза на тесте: 2.4958 → **2.4726**.

Adversarial AUC против теста: uncapped 0.9935/0.9912 → нормированные **1.0000/1.0000**.","**KEEP**, но с явно зафиксированной оговоркой.

Что получилось: лучший одиночный конфиг Strategy 1. Смещение упало почти вдвое
(−0.095 → −0.055) при **улучшении**, а не ухудшении RMSLE — в отличие от усечения
до `L = 180`, где то же снижение смещения стоило +0.0061. Уровень прогноза на тесте
опустился на 0.023 ближе к якорю.

Что не получилось: adversarial AUC вырос до **1.0000**. Разбор показал, что это
не сдвиг распределения, а **квантование**: умножение на cutoff-специфичную константу
`365/avail` создаёт для каждого cutoff'а собственную сетку значений, по которой
классификатор безошибочно узнаёт cutoff. Диапазоны значений при этом как раз стали
сопоставимыми (в этом и была цель), и на самой метрике конфигурация выигрывает.

Так как отличить «безвредный отпечаток» от «вредной экстраполяции» локально нельзя,
в `S1-BEST` этот набор берётся с весом 0.45, ещё 0.45 отдано ненормированному
и 0.10 — усечённой модели с честным AUC 0.686.","```bash
python -m src.features --L 0 --min-history 90 --norm-long
python -m src.train --exp S1-E10 --L 0 --min-history 90 --train-blocks 1 --cutoffs all --norm-long
```",unknown,unknown,unknown,unknown,keep,WORKTREE,experiments/exp_005_s1_e10_normalized_long.md,experiments/team_a_current/exp_005_s1_e10_normalized_long.md,8fd859514e897d822ed428b7c1f3fa86b071e231b84e6a8847d7f3411211609a,7_primary_experiment_report
team_a_current:exp_006,team_a_current,exp_006,exp_006 — S1-BEST: итоговая конфигурация и сабмит,other_or_unknown,2026-08-10,unknown,unknown,unknown,"Принято как **S1-BEST**. Выбран не по максимуму CV: одиночный `S1-E10` даёт
1.75988, смесь — 1.75886, разница мала, но смесь дополнительно снижает зависимость
результата от одного допущения об экстраполяции длинных признаков.

Главная неопределённость — **уровень** прогноза — снята замером на LB и оказалась
выбрана почти оптимально: зазор до минимума 0.0000285. Коэффициент 0.5 на сезонную
поправку, предписанный `strategy_1.md` из-за `n = 1 год`, попал в цель.

Дальнейший прирост возможен только за счёт уменьшения остаточной дисперсии, то есть
самой модели: число раундов, двухчастная постановка, CatBoost, веса cutoff'ов.","```
cutoff'ы   2025-04-03 .. 2025-10-16, шаг 7 дней, 29 штук, 6 065 972 строки
панель     обучение — 1-блочная, валидация и тест — 3-блочная (правило организатора)
таргет     сумма gmv в (T, T+30], обучение на log1p(y), L2
модель     LightGBM 600 раундов, lr 0.05, num_leaves 127, min_data_in_leaf 200,
           feature_fraction 0.7, bagging 0.8/1, lambda_l2 5, max_bin 63, seed 42

смесь (усреднение z, НЕ сырого GMV):
  0.45  S1-NORM  227 призн.  длинные окна нормированы на доступную глубину истории
  0.45  S1-UNC   236 призн.  ненормированные
  0.10  S1-CAP   195 призн.  история усечена до 180 дней (страховка, adv AUC 0.686)

постпроцесс  z_cal = max(z − 0.1486, 0);  pred = expm1(z_cal)
```",unknown,unknown,unknown,unknown,unknown,WORKTREE,experiments/exp_006_s1_best_submission.md,experiments/team_a_current/exp_006_s1_best_submission.md,fd734ea1752b905e7950f51bddf814436444559cca0f8f04dd908842de7ef846,7_primary_experiment_report
team_a_current:exp_007,team_a_current,exp_007,exp_007 — radical feature minimalism,temporal_and_calendar,2026-08-10,"Основной pipeline может переобучаться на слабые взаимодействия и признаки с
train/test shift. Маленькая модель на фиксированных окнах до 180 дней может дать
более устойчивое предсказание hidden test ценой небольшого падения локального CV.","Из 236 признаков оставлены 15 устойчивых колонок покупок, GMV, recency и активности;
LightGBM ограничен 31 листом и усиленной L2-регуляризацией.","- CV по фолдам: 1.78521 / 1.77760 / 1.76795 / 1.76262.
- CV mean: **1.77335 ± 0.00870** (текущий лучший: S1-BEST, 1.75886 ± 0.01162).
- Калиброванный OOF: **1.77065**, хуже S1-BEST на **+0.01349**.
- Pearson / Spearman с current best на тесте: **0.97312 / 0.98518**;
  mean absolute prediction difference: **6.8803**.
- **LB: 1.667424590457357**, хуже S1-BEST (1.6512802628833827) на **+0.01614**.

Importance стабильна между фолдами: `w180_days_buy` даёт 40.1% gain при CV
importance 0.004; далее `w180_orders` (21.1%), `w90_days_buy` (17.5%) и
`w90_orders` (8.8%).","**REJECT.** Гипотеза о hidden-test overfit полного pipeline опровергнута: уменьшение
с 236 до 15 признаков ухудшило LB на 0.01614. Локальный OOF заранее показал почти тот
же проигрыш (+0.01349), поэтому меньший fold std и стабильная importance не являются
достаточным основанием удалять слабые признаки. Точная калибровка уровня 2.3293
исключает level shift как объяснение провала.","`python src/final_experiments.py`; cutoff'ы 2025-04-03..2025-10-16, шаг 7,
train panel b1, validation/test panel b3, LightGBM 400 раундов, leaves 31,
min leaf 800, lambda_l2 20, seed 42 из `config.py`, уровень test 2.3293.

Файл: `submissions/experimental_submission_1.csv`.",1.77335,0.01349,1.66742459046,unknown,reject,WORKTREE,experiments/exp_007_radical_minimalism.md,experiments/team_a_current/exp_007_radical_minimalism.md,4ead2b44a363156afb0df642c120c58b2ac15757d7600af646503ead731a3640,7_primary_experiment_report
team_a_current:exp_008,team_a_current,exp_008,exp_008 — hierarchical rank-cohort similarity,production_integration_and_provenance,2026-08-10,"Пользователи с похожим rank-профилем частоты покупок, GMV и recency могут иметь
сходный будущий GMV без сложной GBDT-аппроксимации. Такой сигнал должен ошибаться
иначе, поэтому крупная примесь к S1-BEST может дать high-risk/high-reward submission.","Построена не модель деревьев, а иерархическая таблица сглаженных средних `log1p(y)`
по 2304 rank-cohort из четырёх признаков с backoff к 48 крупным cohort и global mean.","- Чистый similarity CV по фолдам: 1.86578 / 1.86318 / 1.84892 / 1.82889;
  mean **1.85169** (после общего сдвига OOF **1.82105**).
- Сканирование веса similarity 0.25 / 0.50 / 0.75 / 1.00 дало калиброванный OOF
  1.76028 / **1.77210** / 1.79245 / 1.82105.
- Выбран максимальный вес **0.50**, остающийся не дальше +0.020 от S1-BEST OOF.
- Pearson / Spearman финального submission с current best: **0.92449 / 0.99191**;
  mean absolute prediction difference: **8.6214**.
- Калиброванный OOF смеси: **1.77210**, хуже S1-BEST на **+0.01494**.
- **LB: 1.6682180280505314**, хуже S1-BEST (1.6512803) на **+0.01694** и хуже
  EXP-MIN на **+0.00079**.","**REJECT и как standalone, и как blend.** Низкая Pearson-корреляция сама по себе не
дала полезной декорреляции ошибок: 50% rank-cohort сигнала ухудшили LB на 0.01694.
Сильное сжатие extreme-tail потеряло полезную индивидуальную информацию S1-BEST.
Локальный OOF правильно предсказал и провал, и порядок EXP-MIN < EXP-SIM; необычность
предсказаний нельзя использовать как критерий без сопоставимого CV.","`python src/final_experiments.py`; признаки `w180_days_buy`, `w30_days_buy`,
`w30_lgmv`, `rec_buy`; rank bins 8×6×8×6; smoothing fine/coarse 100/500;
cutoff'ы и seed из `config.py`; итоговый уровень test 2.3293.

Файл: `submissions/experimental_submission_2.csv`.",unknown,0.01494,1.66821802805,unknown,reject,WORKTREE,experiments/exp_008_cohort_similarity.md,experiments/team_a_current/exp_008_cohort_similarity.md,dccd9f9814712f7ac2cafd72e2ec64a1e63b517281f43dfcb6b8ec9cd4d2777c,7_primary_experiment_report
team_a_current:exp_013,team_a_current,exp_013,exp_013 — S1-E11: двухчастная модель на нормированных длинных окнах,tabular_model_and_hyperparameters,2026-08-10,"`strategy_1_results.md` §4.5 оставил двухчастную постановку в списке сознательно
отложенных проверок, а `exp_006` назвал её одним из первых кандидатов на прирост
после закрытия вопроса об уровне. `eda_findings.md` (`e08`) до этого показал, что
двухчастная модель сама по себе примерно равна прямой (1.77008 против 1.77114),
но даёт декорреляцию ошибок.","Модель `two_part` (LightGBM binary для `P(y>0)` × LightGBM регрессия
`E[log1p(y) | y>0]`, `src/models.py`) вместо `direct` на том же наборе признаков
S1-E10 (`norm_long`, 227 колонок).","- CV по фолдам: 1.77344 / 1.76548 / 1.75209 / 1.74469.
- CV mean: **1.75893 ± 0.01121**; bias −0.05520, оптимальный сдвиг −0.055,
  калиброванный OOF **1.75792**.
- Сравнение с той же конфигурацией на `direct` (`S1-E10`, `exp_005`):
  CV 1.75988 → 1.75893 (**−0.00095**), калиброванный OOF 1.75889 → 1.75792
  (**−0.00097**).
- Сравнение с принятым `S1-BEST` (`exp_006`): CV 1.75886 против 1.75893
  (+0.00007), калиброванный OOF 1.75716 против 1.75792 (**+0.00076**).
- runtime 1985 с против 1589 с у `S1-E10`.
- **LB: не отправляли** — сабмита из S1-E11 не собиралось.","**OPEN.** Одиночная двухчастная модель повторяет результат `e08`: она немного
лучше прямой на том же наборе признаков, но по калиброванному OOF остаётся хуже
принятой смеси `S1-BEST`, поэтому в состав сабмита не входила и на leaderboard не
проверялась. Прогон не отменяет и не заменяет `S1-BEST`; открытый вопрос —
двухчастная модель **внутри** смеси (как источник декорреляции по `e08`), а не
вместо неё; это ещё не измерено.","```
model=two_part, norm_long=True, L=None, min_history=90
cutoffs=all, шаг 7 (24 обучающих cutoff'а на фолд), train_blocks=1, panel_blocks=3
LightGBM 600 раундов, параметры по умолчанию из config.LGB_PARAMS, seed из config.py
227 признаков
```",1.75893,unknown,unknown,unknown,unknown,WORKTREE,experiments/exp_013_s1_e11_two_part.md,experiments/team_a_current/exp_013_s1_e11_two_part.md,03a7acf056f39dc54c13cb56555fbeae61a4247262a2e11724d2ad374f35f9d6,7_primary_experiment_report
team_a_current:exp_014,team_a_current,exp_014,exp_014 — E0 / S1-DIST: голова распределения вместо L2,other_or_unknown,2026-08-11,"Метрика требует `E[z|x]`, а L2 по таргету с точечной массой 0.39 в нуле и тяжёлым
хвостом оценивает это среднее неэффективно. Если предсказывать **распределение**
`z` по 16 бинам и брать его среднее, оценка того же условного среднего должна стать
точнее при тех же признаках и той же модели.

Замер `N12` (`research/strategy_NN_1.md` §1.4) показал на одном фолде
**1.75002 → 1.74606 (−0.00396)**. E0 проверяет, переносится ли это на все 4 фолда
в боевом пайплайне. Это же — общий фундамент обеих нейросетевых стратегий:
если эффект не воспроизводится, у них пропадает главный подтверждённый рычаг.","Только **выход модели**: `objective=""multiclass""` по 16 бинам `z` (бин 0 = ровно
ноль, остальные 15 — квантили `z|z>0`), прогноз `ẑ = Σ p_k·m_k`, центроиды `m_k`
считаются на train. Признаки, фолды, панели и гиперпараметры — как у `S1-E10`.","Опорная модель — `S1-E10` (те же 227 признаков, `direct`).

| фолд | S1-DIST | S1-E10 | дельта |
|---|---|---|---|
| 2025-09-04 | 1.77015 | 1.77209 | **−0.00194** |
| 2025-09-18 | 1.76382 | 1.76537 | **−0.00155** |
| 2025-10-02 | 1.75183 | 1.75326 | **−0.00143** |
| 2025-10-16 | 1.74427 | 1.74495 | **−0.00069** |
| **калиброванный OOF** | **1.75744** | 1.75889 | **−0.00145** |

- CV mean 1.75834 ± 0.01045, bias −0.0515, оптимальный сдвиг −0.050.
- `AUC(1[y>0])` по `ẑ`: 0.84234 против 0.84156 у `S1-E10` (+0.00078).
- **`Var(z_DIST − z_E10) = 0.01320`**, corr предсказаний 0.99714, corr остатков
  0.99786 — разнообразия почти нет, это по-прежнему **та же функция**.
- Кривая по раундам плоская, минимум около 150–200: на фолде 2025-10-16
  1.74452 (100) / 1.74407 (150) / 1.74410 (200) / 1.74427 (250). Оставлены
  пре-регистрированные 250, разница на уровне шума.
- runtime: 4 фолда двумя процессами по 6 потоков — 66 минут.

### Эффект слабее эталона в 2.5 раза, и это объяснимо

`N12` сравнивался с базой на **трёх** cutoff'ах (1.75002). В боевом пайплайне база
— плотная сетка из 24 cutoff'ов (1.74495 на том же фолде), и она уже забирает
большую часть того же выигрыша. На сильной базе остаётся −0.0007…−0.0019.
**Правило проекта: эталонные дельты, снятые на слабой базе, к боевой не переносятся.**

### Смесь

Подбор весов на OOF по 4 моделям (1771 комбинация, шаг 0.05):

| смесь | OOF калибр. |
|---|---|
| argmax OOF `[0.15 E10, 0.35 E02, 0.00 E03a, 0.50 DIST]` | 1.75638 |
| **принято: `[0.15 E10, 0.30 E02, 0.10 E03a, 0.45 DIST]`** | **1.75645** |
| `S1-BEST` = `[0.45, 0.45, 0.10, 0.00]` | 1.75716 |

argmax выбрасывает `S1-E03a` — но её 0.10 в `S1-BEST` стояли не по OOF, а как
страховка от сдвига train→test (adv AUC 0.686, `exp_006`). Поверхность весов
плоская: сохранение страховки стоит **0.00007**, то есть шум. Взят вариант
со страховкой.

Смесь с головой лучше `S1-BEST` на **4 фолдах из 4**: −0.00078 / −0.00067 /
−0.00077 / −0.00057, калиброванный OOF **1.75645 против 1.75716 (−0.00071)**.

### LB: 1.6507774106 — подтверждено

Сабмит `submissions/submission_dist_head.csv` -> **LB (public) 1.6507774106**
против 1.6512803 у `S1-BEST`, то есть **−0.0005029**. Лучший результат проекта.

**Перенос OOF→LB оказался 0.64×, а не 1.13–1.20× по `R10`.** Ожидание было −0.0008,
факт −0.0005. Константа `R10` калибровалась на трёх **ухудшениях** (EXP-MIN +0.01349
→ +0.01614; EXP-SIM +0.01494 → +0.01694; S2 +0.00945 → +0.01065) и на улучшение
не переносится. Рабочая поправка: **прирост OOF даёт на LB примерно 0.6–0.7 от
своей величины, ухудшение — 1.1–1.2.** Это меняет экономику будущих порогов:
чтобы получить −0.005 на LB, нужно около −0.008 на OOF.

Отдельно: часть выигрыша — не от головы, а от уровня. Старый сабмит стоял на
2.3391 вместо оптимальных 2.3293, что по `MSE(L) = C + (L*−L)²` стоило 0.0000285.
Значит вклад собственно смеси с головой — около **−0.00047**.","**ПРИНЯТО. Лучшее решение проекта: LB 1.6507774106.** Пре-регистрированное правило
при этом не выполнено — см. ниже, вердикт вынесен не по нему.

Правило из `strategy_NN_report.md` §6 требовало прироста **≥ 0.003 на ≥3 фолдах**;
фактически получено 0.0007–0.0019 на 4 фолдах из 4. Эффект **реальный и
устойчивый по знаку** (4/4 и по одиночной модели, и в смеси), но по величине
меньше заявленного порога. Голова принята в сабмит потому, что улучшает смесь
на всех фолдах при нулевом дополнительном риске (те же признаки, та же модель,
отличается только выходной слой), а не потому, что прошла порог.

**Что это значит для нейросетевых стратегий — важнее самого прироста.**
`Var(Δ) = 0.0132` при пороге разнообразия 0.10 (`strategy_NN_1.md` §8.2) говорит,
что смена головы **не создаёт нового класса функций**: она уточняет ту же самую.
Значит вклад HDN, если он будет, придётся получать от **энкодера** (плотная
супервизия, личное время, SSL), а не от головы. Пункт §1.4 отчёта как
«главный подтверждённый рычаг обеих стратегий» надо понизить в приоритете:
он подтверждён по знаку, но его величина на боевой базе — единицы десятитысячных.","```
model=dist (multiclass, 16 бинов z, центроиды по train), norm_long=True, L=None
min_history=90, cutoffs=all шаг 7 (18/20/22/24 обучающих cutoff'а на фолд)
train_blocks=1, panel_blocks=3, 250 раундов, LGB_PARAMS из config.py, seed 42
227 признаков

# 4 фолда двумя процессами
LGB_THREADS=6 python -m src.train --exp S1-DIST-A --model dist --L 0 --norm-long \
  --rounds 250 --snap 100 150 200 --train-blocks 1 --val 2025-10-16 2025-09-04 --no-log
LGB_THREADS=6 python -m src.train --exp S1-DIST-B --model dist --L 0 --norm-long \
  --rounds 250 --snap 100 150 200 --train-blocks 1 --val 2025-10-02 2025-09-18 --no-log
python -m src.merge_oof --out S1-DIST --parts S1-DIST-A S1-DIST-B --ref S1-E10

# тестовые предсказания и сабмит
python -m src.predict --exp S1-DIST --variant S1-DIST --L 0 --norm-long \
  --min-history 90 --step 7 --train-blocks 1 --rounds 250 --blend dist
python -m src.submit --z S1-NORM S1-UNC S1-CAP S1-DIST --weights 0.15 0.30 0.10 0.45 \
  --level 2.3293 --out submission_dist_head.csv
```",unknown,0.00078,1.6507774106,4,unknown,WORKTREE,experiments/exp_014_s1_dist_head.md,experiments/team_a_current/exp_014_s1_dist_head.md,22047359e0364c11178d7dce65c7ced5a0155de3e39cd655f3615bcfc42de170,7_primary_experiment_report
