experiment_id,canonical_name,status,result_gap_kind,facts_preserved,source,note
team_a_current:EXP-028,Fresh-DIST leakage audit,rejected_before_training,no_canonical_numeric_cv_delta_or_lb,"{""primary_report"":""Audit found that late-label selection would leak target information; planned training was stopped. The report directly measures +51.4% rows under the proposed construction."",""machine_audit"":{""planned_clean_cutoffs"":29,""planned_extra_cutoffs"":13,""planned_rows_extra"":3118996,""training_executed"":false,""submission_created"":false}}",experiments/team_a_current/exp_028_fresh_dist_mix.md,Diagnostic or technical facts may still exist; this table only flags the canonical CV/delta/LB fields.
team_a_current:EXP-048,Selection-mismatch CV audit,technical_inconclusive,blocked_preflight_or_manifest_without_canonical_numeric_metric,"{""primary_report"":""Pseudo-matched and standard panels had incompatible support; fold 2025-10-16 had only k=3 and was excluded. Candidate ranking was mostly unchanged, but exact production claim could not be made."",""machine_audit"":{""min_ess_fraction"":0.5696,""matched_support"":false,""k0_missing"":true}}",experiments/team_a_current/exp_048_selection_mismatch_cv.md,Diagnostic or technical facts may still exist; this table only flags the canonical CV/delta/LB fields.
team_a_current:EXP-050,BTYD05 production resolution,blocked,blocked_preflight_or_manifest_without_canonical_numeric_metric,"{""primary_report"":""FRESH branch lacked exact test encoder; original BTYD production MLE was unstable. No submission was produced."",""machine_audit"":{""btyd_status"":""FAIL_UNSTABLE_MLE"",""donor_group0_max_log_parameter_spread"":1.1888,""donor_group0_nll_spread"":1.62e-05,""fresh_status"":""FAIL"",""submission_created"":false}}",experiments/team_a_current/exp_050_btyd05_production_resolution.md,Diagnostic or technical facts may still exist; this table only flags the canonical CV/delta/LB fields.
teammate_review:TM-RUN-EXTRA90-20260823,extra90m_cached_meta_2026-08-23_001,completed_no_lb,runtime_backed_run_unit_without_standalone_metric,"{""machine_manifest"":{""record_type"":""review_run"",""experiment_id"":""TM-RUN-EXTRA90-20260823"",""canonical_name"":""extra90m_cached_meta_2026-08-23_001"",""family"":""best_bas_cached_meta"",""date"":""2026-08-23"",""parent_baseline"":""TM-RUN-FINAL6H-20260823"",""change"":""cached-only meta/raw/hierarchical evaluation; no new raw-model training; materialize four CSVs"",""validation_protocol"":""same walk-forward four-fold protocol and 1:2:4:8 weights"",""runtime_minutes"":31.111259865760804,""status"":""completed_no_lb"",""candidate_names"":83,""materialized_submissions"":4,""archive_sha256"":""e51822f916f926286be25ec7d2251c1887dfeae61999145786af4382be595144"",""archive_entries"":13,""archive_extraction_exact"":true,""artifacts"":[""пайплайн сокомандника/review_bundles/extra90_REVIEW_BUNDLE_20260823_222555_extracted/results/RUN_MANIFEST.json"",""пайплайн сокомандника/review_bundles/extra90_REVIEW_BUNDLE_20260823_222555_extracted/results/ALL_EXTRA90_VALIDATION.csv""],""compatible_tags"":[""changes_ensemble"",""changes_postprocessing"",""nested_modification""]}}",evidence/teammate_records.jsonl#TM-RUN-EXTRA90-20260823,Diagnostic or technical facts may still exist; this table only flags the canonical CV/delta/LB fields.
teammate_review:TM-RUN-FINAL6H-20260823,final6h_fixedfriend_2026-08-23_001,completed_no_lb,runtime_backed_run_unit_without_standalone_metric,"{""machine_manifest"":{""record_type"":""review_run"",""experiment_id"":""TM-RUN-FINAL6H-20260823"",""canonical_name"":""final6h_fixedfriend_2026-08-23_001"",""family"":""best_bas_occurrence"",""date"":""2026-08-23"",""parent_baseline"":""TM-RUN-FIXEDSTACK-20260823"",""change"":""train eight occurrence models across four folds plus TEST and evaluate overlay/meta candidates"",""validation_protocol"":""same walk-forward four-fold protocol and 1:2:4:8 weights"",""runtime_hours"":4.496829305820995,""status"":""completed_no_lb"",""candidate_names"":166,""materialized_submissions"":2,""archive_sha256"":""fe84467066993e7aab40efe8b54343efc5fb9366eee5d5e187b7b21f865807fe"",""archive_entries"":15,""archive_extraction_exact"":true,""artifacts"":[""пайплайн сокомандника/review_bundles/final6h_REVIEW_BUNDLE_20260823_204823_extracted/results/RUN_MANIFEST.json"",""пайплайн сокомандника/review_bundles/final6h_REVIEW_BUNDLE_20260823_204823_extracted/results/ALL_FINAL6H_VALIDATION.csv"",""пайплайн сокомандника/review_bundles/final6h_REVIEW_BUNDLE_20260823_204823_extracted/results/runtime.csv""],""compatible_tags"":[""changes_model"",""changes_ensemble"",""nested_modification""],""notes"":""known ridge score in manifest is context only, not artifact-bound evidence""}}",evidence/teammate_records.jsonl#TM-RUN-FINAL6H-20260823,Diagnostic or technical facts may still exist; this table only flags the canonical CV/delta/LB fields.
teammate_review:TM-RUN-FIXEDSTACK-20260823,fixedstack_combo_10h_2026-08-23_001,completed_no_lb,runtime_backed_run_unit_without_standalone_metric,"{""machine_manifest"":{""record_type"":""review_run"",""experiment_id"":""TM-RUN-FIXEDSTACK-20260823"",""canonical_name"":""fixedstack_combo_10h_2026-08-23_001"",""family"":""best_bas_fixed_stack"",""date"":""2026-08-23"",""parent_baseline"":""STRONGEST_CURRENT + table_core"",""change"":""load four existing OOF experts, train two hurdle variants, evaluate fixed-stack candidates, materialize four CSVs"",""validation_protocol"":""walk-forward meta-fit on 2025-09-04/09-18/10-02/10-16, weights 1:2:4:8; first fold unchanged"",""runtime_hours"":1.470208673675855,""status"":""completed_no_lb"",""candidate_names"":50,""materialized_submissions"":4,""archive_sha256"":""f6921f298acfb540190f2d7d0ce36ad9473fa7c6161b949e809d2916a3e9f791"",""archive_entries"":24,""archive_extraction_exact"":true,""artifacts"":[""пайплайн сокомандника/review_bundles/fixedstack_combo10h_REVIEW_BUNDLE_20260823_054654_extracted/results/RUN_MANIFEST.json"",""пайплайн сокомандника/review_bundles/fixedstack_combo10h_REVIEW_BUNDLE_20260823_054654_extracted/results/ALL_VALIDATION.csv""],""compatible_tags"":[""changes_model"",""changes_ensemble"",""nested_modification""],""notes"":""deltas are against table_core wCV 1.749803702558191, not full STRONGEST CV or LB""}}",evidence/teammate_records.jsonl#TM-RUN-FIXEDSTACK-20260823,Diagnostic or technical facts may still exist; this table only flags the canonical CV/delta/LB fields.
teammate_review:TM-TRAIN-HURDLE-FAST12,recent_hurdle_fast12,completed,runtime_backed_run_unit_without_standalone_metric,"{""machine_manifest"":{""record_type"":""review_training_unit"",""experiment_id"":""TM-TRAIN-HURDLE-FAST12"",""canonical_name"":""recent_hurdle_fast12"",""parent_run"":""TM-RUN-FIXEDSTACK-20260823"",""model_family"":""LightGBM hurdle expert"",""validation_protocol"":""four temporal OOF folds"",""runtime_hours"":0.4129196912050247,""status"":""completed"",""artifacts"":[""пайплайн сокомандника/review_bundles/fixedstack_combo10h_REVIEW_BUNDLE_20260823_054654_extracted/results/runtime.csv""]}}",evidence/teammate_records.jsonl#TM-TRAIN-HURDLE-FAST12,Diagnostic or technical facts may still exist; this table only flags the canonical CV/delta/LB fields.
teammate_review:TM-TRAIN-HURDLE-STABLE18,recent_hurdle_stable18,completed,runtime_backed_run_unit_without_standalone_metric,"{""machine_manifest"":{""record_type"":""review_training_unit"",""experiment_id"":""TM-TRAIN-HURDLE-STABLE18"",""canonical_name"":""recent_hurdle_stable18"",""parent_run"":""TM-RUN-FIXEDSTACK-20260823"",""model_family"":""LightGBM hurdle expert"",""validation_protocol"":""four temporal OOF folds; TEST continuation recorded by final6h runtime"",""runtime_hours_oof"":0.6721788856718275,""runtime_hours_test"":0.21312984466552734,""status"":""completed"",""artifacts"":[""пайплайн сокомандника/review_bundles/fixedstack_combo10h_REVIEW_BUNDLE_20260823_054654_extracted/results/runtime.csv"",""пайплайн сокомандника/review_bundles/final6h_REVIEW_BUNDLE_20260823_204823_extracted/results/runtime.csv""]}}",evidence/teammate_records.jsonl#TM-TRAIN-HURDLE-STABLE18,Diagnostic or technical facts may still exist; this table only flags the canonical CV/delta/LB fields.
teammate_review:TM-TRAIN-OCC-R10-FAST,occ_r10_fast,completed,runtime_backed_run_unit_without_standalone_metric,"{""machine_manifest"":{""record_type"":""review_training_unit"",""experiment_id"":""TM-TRAIN-OCC-R10-FAST"",""canonical_name"":""occ_r10_fast"",""parent_run"":""TM-RUN-FINAL6H-20260823"",""model_family"":""binary LightGBM occurrence"",""runs"":5,""folds_or_test"":[""2025-09-04"",""2025-09-18"",""2025-10-02"",""2025-10-16"",""TEST""],""runtime_hours"":0.2553213311566247,""status"":""completed""}}",evidence/teammate_records.jsonl#TM-TRAIN-OCC-R10-FAST,Diagnostic or technical facts may still exist; this table only flags the canonical CV/delta/LB fields.
teammate_review:TM-TRAIN-OCC-R12-WIDE,occ_r12_wide,completed,runtime_backed_run_unit_without_standalone_metric,"{""machine_manifest"":{""record_type"":""review_training_unit"",""experiment_id"":""TM-TRAIN-OCC-R12-WIDE"",""canonical_name"":""occ_r12_wide"",""parent_run"":""TM-RUN-FINAL6H-20260823"",""model_family"":""binary LightGBM occurrence"",""runs"":5,""folds_or_test"":[""2025-09-04"",""2025-09-18"",""2025-10-02"",""2025-10-16"",""TEST""],""runtime_hours"":0.3740995480616887,""status"":""completed""}}",evidence/teammate_records.jsonl#TM-TRAIN-OCC-R12-WIDE,Diagnostic or technical facts may still exist; this table only flags the canonical CV/delta/LB fields.
