sha256,size_bytes_each,copies,aggregate_bytes,canonical_path,path,duplicate_of,type
a9dc2dabdc693cd510c0428c501154898ec11f1e15b0694261471757cae274a1,6613022,3,19839066,пайплайн сокомандника/latest/latest_rebuilt.csv,artifacts/AUTHORITATIVE_LATEST_AUDIT_20260825_160144/latest_reconstructed.csv,пайплайн сокомандника/latest/latest_rebuilt.csv,test_prediction
a9dc2dabdc693cd510c0428c501154898ec11f1e15b0694261471757cae274a1,6613022,3,19839066,пайплайн сокомандника/latest/latest_rebuilt.csv,artifacts/AUTHORITATIVE_LATEST_AUDIT_20260825_160144_V2/latest_reconstructed.csv,пайплайн сокомандника/latest/latest_rebuilt.csv,test_prediction
a9dc2dabdc693cd510c0428c501154898ec11f1e15b0694261471757cae274a1,6613022,3,19839066,пайплайн сокомандника/latest/latest_rebuilt.csv,пайплайн сокомандника/latest/latest_rebuilt.csv,,test_prediction
ea06e6c544aeaf4f2bcd1de4e96ebd57dc7cf0f19b562d1acdbb40460dcca1b3,10236,2,20472,artifacts/BTYD_STABLE_EXP051/aggregation_mc_audit.json,artifacts/BTYD_DAY_BGNBD_EXP047_V2/aggregation_mc_audit.json,artifacts/BTYD_STABLE_EXP051/aggregation_mc_audit.json,other
ea06e6c544aeaf4f2bcd1de4e96ebd57dc7cf0f19b562d1acdbb40460dcca1b3,10236,2,20472,artifacts/BTYD_STABLE_EXP051/aggregation_mc_audit.json,artifacts/BTYD_STABLE_EXP051/aggregation_mc_audit.json,,other
39262e15bbbae8af39c5d62b9db080f6e51223830388ee0f6e4b816e53ed7ae2,3305,2,6610,artifacts/BTYD_STABLE_EXP051/baseline_manifest.json,artifacts/BTYD_DAY_BGNBD_EXP047_V2/baseline_manifest.json,artifacts/BTYD_STABLE_EXP051/baseline_manifest.json,manifest
39262e15bbbae8af39c5d62b9db080f6e51223830388ee0f6e4b816e53ed7ae2,3305,2,6610,artifacts/BTYD_STABLE_EXP051/baseline_manifest.json,artifacts/BTYD_STABLE_EXP051/baseline_manifest.json,,manifest
51158531ea73131dbaa5dfa56b5f1fbf790556f44300bd4123ea1cb65bfa3f6e,826,2,1652,artifacts/BTYD_STABLE_EXP051/data_event_audit.json,artifacts/BTYD_DAY_BGNBD_EXP047_V2/data_event_audit.json,artifacts/BTYD_STABLE_EXP051/data_event_audit.json,other
51158531ea73131dbaa5dfa56b5f1fbf790556f44300bd4123ea1cb65bfa3f6e,826,2,1652,artifacts/BTYD_STABLE_EXP051/data_event_audit.json,artifacts/BTYD_STABLE_EXP051/data_event_audit.json,,other
1ec1998c62db14c8ed16052bdbb0fa5de0e32cea8bc8a59a7b93059f9ccf6fa2,3954513,2,7909026,artifacts/BTYD_STABLE_EXP051/rfm_20250904.npz,artifacts/BTYD_DAY_BGNBD_EXP047_V2/rfm_20250904.npz,artifacts/BTYD_STABLE_EXP051/rfm_20250904.npz,other
1ec1998c62db14c8ed16052bdbb0fa5de0e32cea8bc8a59a7b93059f9ccf6fa2,3954513,2,7909026,artifacts/BTYD_STABLE_EXP051/rfm_20250904.npz,artifacts/BTYD_STABLE_EXP051/rfm_20250904.npz,,other
c8e3953ca1199408482a711942bd145b763e86040d684e308387cdce4047b865,4003503,2,8007006,artifacts/BTYD_STABLE_EXP051/rfm_20250918.npz,artifacts/BTYD_DAY_BGNBD_EXP047_V2/rfm_20250918.npz,artifacts/BTYD_STABLE_EXP051/rfm_20250918.npz,other
c8e3953ca1199408482a711942bd145b763e86040d684e308387cdce4047b865,4003503,2,8007006,artifacts/BTYD_STABLE_EXP051/rfm_20250918.npz,artifacts/BTYD_STABLE_EXP051/rfm_20250918.npz,,other
872907e9b04dc72bfcfdb350f357dbca83197a6635b584a4b145ddf4b8832f13,4049688,2,8099376,artifacts/BTYD_STABLE_EXP051/rfm_20251002.npz,artifacts/BTYD_DAY_BGNBD_EXP047_V2/rfm_20251002.npz,artifacts/BTYD_STABLE_EXP051/rfm_20251002.npz,other
872907e9b04dc72bfcfdb350f357dbca83197a6635b584a4b145ddf4b8832f13,4049688,2,8099376,artifacts/BTYD_STABLE_EXP051/rfm_20251002.npz,artifacts/BTYD_STABLE_EXP051/rfm_20251002.npz,,other
