experiment_id,score_claim,submission_claim,existing_candidate_artifacts,missing_candidate_artifacts,reason_not_confirmed,source,status,external_platform_export_present
team_a_current:EXP-015,best_of_two=1.6512012383165489,"[""submissions/submission_experimental_f4.csv"",""submissions/submission_experimental_f4_mix.csv""]","[""submission_experimental_f4.csv"",""submission_experimental_f4_mix.csv""]","[""unknown""]",score is ambiguous across multiple existing artifacts,experiments/team_a_current/exp_015_last_fold_only.md,unverified_repository_claim,no
team_a_current:EXP-041,1.6502464747481933,submissions/submission_RIDGE15.csv,"[""submission_RIDGE15.csv""]","[""unknown""]","artifact exists, but the score event is not SHA-bound to an upload/result record",experiments/team_a_current/exp_041_ridge15.md,unverified_repository_claim,no
team_a_current:EXP-042,1.649547109893236,submissions/submission_ZERO2D_SHRINK.csv,"[""submission_ZERO2D_SHRINK.csv""]","[""unknown""]","artifact exists, but the score event is not SHA-bound to an upload/result record",experiments/team_a_current/exp_042_zero2d_shrink.md,unverified_repository_claim,no
team_a_current:EXP-067,1.64921756224069,exact source CSV path/hash recorded in report; not a new upload,"[""unknown""]","[""unknown""]",no exact submission artifact is bound to the score claim,experiments/team_a_current/exp_067_authoritative_latest_integration.md,unverified_repository_claim,no
team_a_current:EXP-068,1.6492897556391737,historical CSV exists; SHA prefix 9596 recorded,"[""unknown""]","[""unknown""]",no exact submission artifact is bound to the score claim,experiments/team_a_current/exp_068_recency_ridge_predictions.md,unverified_repository_claim,no
team_b_alt:EXP-008,1.657,submissions/exp_008_recency_lightgbm_scale064.csv; absent from specified evidence roots,"[""unknown""]","[""exp_008_recency_lightgbm_scale064.csv""]",named submission artifact is absent from the available repositories/worktrees,experiments/team_b_alt/exp_008_recency_lightgbm_scale.md,unverified_repository_claim,no
team_b_alt:EXP-009,1.6568530995317488,submissions/exp_009_recency_long_buy_lgbm_logens.csv; absent,"[""unknown""]","[""exp_009_recency_long_buy_lgbm_logens.csv""]",named submission artifact is absent from the available repositories/worktrees,experiments/team_b_alt/exp_009_long_buy_ensemble.md,unverified_repository_claim,no
team_b_alt:EXP-011,scale1.0=1.661242797071839; scale1.2=1.6549097093483665; scale1.4=1.6598855449125254,exp_011_dense8_logens.csv generic output named; exact scale CSVs absent,"[""unknown""]","[""exp_011_dense8_logens.csv""]",named submission artifact is absent from the available repositories/worktrees,experiments/team_b_alt/exp_011_dense_clean_ensemble.md,unverified_repository_claim,no
team_b_alt:EXP-012,"reuses EXP-011 values, not independent submissions",none new,"[""unknown""]","[""unknown""]",no exact submission artifact is bound to the score claim,experiments/team_b_alt/exp_012_lb_validation_alignment.md,unverified_repository_claim,no
team_b_alt:EXP-013,scale1.275=1.6557083162306878; scale1.300=1.656279619331512; baseline1.2=1.6549097093483665,scale candidate files not named exactly; absent,"[""unknown""]","[""unknown""]",no exact submission artifact is bound to the score claim,experiments/team_b_alt/exp_013_scale_grid_main_validation.md,unverified_repository_claim,no
team_b_alt:EXP-015,exact candidate score unknown; report says slightly worse than baseline1.6549097093483665,submissions/exp_015_dense8_logens_wrec0525_scale120.csv; absent,"[""unknown""]","[""exp_015_dense8_logens_wrec0525_scale120.csv""]",named submission artifact is absent from the available repositories/worktrees,experiments/team_b_alt/exp_015_ensemble_weight_grid.md,unverified_repository_claim,no
team_b_alt:EXP-016,1.6547788658437297,submissions/exp_016_post_order_wrec050_scale120.csv; absent,"[""unknown""]","[""exp_016_post_order_wrec050_scale120.csv""]",named submission artifact is absent from the available repositories/worktrees,experiments/team_b_alt/exp_016_post_order_activity.md,unverified_repository_claim,no
team_b_alt:EXP-017,1.6546318191,submissions/exp_017_dist_post_order_wrec050_scale120.csv; absent,"[""unknown""]","[""exp_017_dist_post_order_wrec050_scale120.csv""]",named submission artifact is absent from the available repositories/worktrees,experiments/team_b_alt/exp_017_dist_head_post_order.md,unverified_repository_claim,no
team_b_core:EXP-015,candidate about 1.6700; unshifted baseline about 1.6615,unnamed submission; absent from specified evidence roots,"[""unknown""]","[""unknown""]",no exact submission artifact is bound to the score claim,experiments/team_b_core/exp_015_calibration_shift.md,unverified_repository_claim,no
team_b_core:EXP-029,1.65841662470559,E_hurdle_variance_exp029.csv named by EXP-030; absent from specified evidence roots,"[""unknown""]","[""E_hurdle_variance_exp029.csv""]",named submission artifact is absent from the available repositories/worktrees,experiments/team_b_core/exp_029_variance_predictability_hurdle.md,unverified_repository_claim,no
team_b_core:EXP-030,F=1.6566618522758063; G=1.6561975700155196,"[""F_hurdle_variance_exp029_season_yoy_1_168.csv"",""G_hurdle_variance_exp029_season_1_12.csv""]","[""unknown""]","[""F_hurdle_variance_exp029_season_yoy_1_168.csv"",""G_hurdle_variance_exp029_season_1_12.csv""]",named submission artifact is absent from the available repositories/worktrees,experiments/team_b_core/exp_030_submit_season_yoy_coefficient.md,unverified_repository_claim,no
team_b_core:EXP-033,1.6599,submissions/H_multicutoff_spring_exp033.csv; absent from evidence roots,"[""unknown""]","[""H_multicutoff_spring_exp033.csv""]",named submission artifact is absent from the available repositories/worktrees,experiments/team_b_core/exp_033_spring_submit.md,unverified_repository_claim,no
teammate_context:class1_occ,1.688068573391526,unknown,"[""unknown""]","[""class1_occ""]",script constant; old prediction used at runtime but CSV not preserved,evidence/teammate_records.jsonl#TM-LB-EVIDENCE,unverified_context_constant_not_promoted_to_experiment,no
teammate_context:ranker_safe,1.654133685532829,unknown,"[""unknown""]","[""ranker_safe""]",script constant; old prediction used at runtime but CSV not preserved,evidence/teammate_records.jsonl#TM-LB-EVIDENCE,unverified_context_constant_not_promoted_to_experiment,no
