file_model_submission,kind,exists,purpose,target,features,train_cutoffs,validation,test_inference,dependencies,reproducibility,status,leaderboard_score,rows,sha256
team-b/.gitignore,config,True,Team-B project file,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,96a725d8a8a5f234677590a4f60895a658f30b5e25831bfc044e1e525306deaa
team-b/AGENTS.md,report,True,Team-B project file,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,30bd10caa44ce19d7454bbc260b80fd68ccc351bbdf5fb37da10177fa12e08f4
team-b/artifacts/exp019_behavior_v1_cv.csv,aggregate_artifact,True,aggregate CV/grid/importance table; no row-level OOF or TEST vector,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,d660f1c42b1ac4b88bf84c21247347ecaaf3d8799989e1d769a3b46769b0e3b1
team-b/artifacts/exp019_behavior_v1_gain_by_fold.csv,aggregate_artifact,True,aggregate CV/grid/importance table; no row-level OOF or TEST vector,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,f5ae2e9128da29bfb674b3ba776c263b61da8440c0cd39f37fec00c0da53b870
team-b/artifacts/exp019_behavior_v1_gain_summary.csv,aggregate_artifact,True,aggregate CV/grid/importance table; no row-level OOF or TEST vector,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,7db151536dc2c2d5f29080f399bac45947b19ee55dfd5a79629c68570d901277
team-b/artifacts/exp019_behavior_v1_permutation_by_fold.csv,aggregate_artifact,True,aggregate CV/grid/importance table; no row-level OOF or TEST vector,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,193870d4e2728637e066eca434aec1e522048907992fa658de89fe4ca47b76d2
team-b/artifacts/exp019_behavior_v1_permutation_summary.csv,aggregate_artifact,True,aggregate CV/grid/importance table; no row-level OOF or TEST vector,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,e0f70726d4e366afc9ef51f29d3086d65fdb02f90bde0d0f8b5bb6fdef6d98a4
team-b/artifacts/exp019_behavior_v1_shap_fold1.csv,aggregate_artifact,True,aggregate CV/grid/importance table; no row-level OOF or TEST vector,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,5e4b47c06526f94eb4aaa1ff12738450179802bcbecb943564f6ec8f087ebaca
team-b/artifacts/exp019_behavior_v1_shap_fold2.csv,aggregate_artifact,True,aggregate CV/grid/importance table; no row-level OOF or TEST vector,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,b47e21c37c662601f65450db76fe772ec6e1e4584af52f6e29e08d27083debdd
team-b/artifacts/exp019_behavior_v1_shap_summary.csv,aggregate_artifact,True,aggregate CV/grid/importance table; no row-level OOF or TEST vector,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,882e327bca85cac08f2e466723d1811030588a082a78114fd5d9f0a910dd4c36
team-b/artifacts/exp022_model_blend_grid.csv,aggregate_artifact,True,aggregate CV/grid/importance table; no row-level OOF or TEST vector,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,e848f7b852fb598b281a65191d2086b36f74a00bf3ffc658accef6b2c19b1896
team-b/artifacts/exp023_xgboost_blend_grid.csv,aggregate_artifact,True,aggregate CV/grid/importance table; no row-level OOF or TEST vector,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,0c40cfa72527bf35558be47735b3202c5daf21f0105fc7cba25c3d68009973f3
team-b/artifacts/exp024_cat_xgb_blend_grid.csv,aggregate_artifact,True,aggregate CV/grid/importance table; no row-level OOF or TEST vector,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,9736ea89b2160b14c4e5f16e5f231d27517f5d8bf29760d41b96c0e50434ced9
team-b/docs/exp019_shap_top50.md,report,True,secondary design/feature documentation,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,4d20435c9d47b11bae8bb03c588d7f11185d1bf4bde7c9bf7aeb401d3eb003ee
team-b/docs/feature_bank_300.md,report,True,secondary design/feature documentation,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,f9b0e7015bbb994b6b9acac4fbb022e8bb37d689076d19f29bdea0d0121949c9
team-b/docs/team_b_handoff.md,report,True,handoff architecture claim and API,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,a7f6d5f4772f13403347cbea96ce2c481f8a29e3da372addbeb49704691c7045
team-b/experiments/_template.md,report,True,experiment report; secondary evidence checked against code/artifacts,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,3e4c201a9eb05993f30fa3bfeb102a5a78b2742ee4e205c7ad584d1f826a6c8c
team-b/experiments/exp_001_baseline.md,report,True,experiment report; secondary evidence checked against code/artifacts,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,a6d8d94a5ef7c23be13f2b623b3141031e39ee468a07af944a810d679d8a6890
team-b/experiments/exp_002_conversions.md,report,True,experiment report; secondary evidence checked against code/artifacts,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,dd1afd37f427209221a502b437f1d0e64d91bc3d91fc42f34d1ba335e6875766
team-b/experiments/exp_003_trends.md,report,True,experiment report; secondary evidence checked against code/artifacts,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,1b06d37a0a815451fd1e5f827d09ca3e587d1f388b601a77d464ebe038fde170
team-b/experiments/exp_004_recency.md,report,True,experiment report; secondary evidence checked against code/artifacts,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,6834b2fe1a3b83bc70518b1254288a6d58296b00405fec7c5ccc6d65a2531bf5
team-b/experiments/exp_005_scale_calibration.md,report,True,experiment report; secondary evidence checked against code/artifacts,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,f98d852e2e1a758342cd48a27c35bf732f1ab07d017555cd7350909b34d8afbc
team-b/experiments/exp_006_lightgbm.md,report,True,experiment report; secondary evidence checked against code/artifacts,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,c0ffa4b28046179a71e63b07f25595126f1d11eecbeb727bca2cc7e764fba344
team-b/experiments/exp_007_multi_cutoff_cv.md,report,True,experiment report; secondary evidence checked against code/artifacts,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,9a616ae488fd08ce26cb79db840c918ae7507c85c92458e82747d026795b9eb9
team-b/experiments/exp_008_recency_lightgbm_scale.md,report,True,experiment report; secondary evidence checked against code/artifacts,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,e5efe9751f782a8a7c3d9567b642d14e5c14f9feb9128d5fc444cbe69efbfa17
team-b/experiments/exp_009_long_buy_ensemble.md,report,True,experiment report; secondary evidence checked against code/artifacts,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,690a2ab7d9e1a7964802b03594c637befcc004a0e201a3a3eff828f8805e5a8c
team-b/experiments/exp_010_ensemble_tuning.md,report,True,experiment report; secondary evidence checked against code/artifacts,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,923efd4449def370fea8cee4b4fd125231141d0a12c66a073c12f15cf00b8489
team-b/experiments/exp_011_dense_clean_ensemble.md,report,True,experiment report; secondary evidence checked against code/artifacts,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,504ae908c5269c7bf3363d169b02db30177b9e1547dfb0581e54fa8dcf009808
team-b/experiments/exp_012_lb_validation_alignment.md,report,True,experiment report; secondary evidence checked against code/artifacts,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,9663162e81e80dd0e2ca5617a985d6ccde002e36f217dc3fdebc66d497af2649
team-b/experiments/exp_013_scale_grid_main_validation.md,report,True,experiment report; secondary evidence checked against code/artifacts,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,5220dbd9d0bd5e98b50b973fdba85c06225bb8a23ddc477358ce87adcf0676cc
team-b/experiments/exp_014_classifier_gate.md,report,True,experiment report; secondary evidence checked against code/artifacts,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,54bc6ef6472cdc3982924acf99363bfacfe09de24e7ddbf318f1834c5301d56f
team-b/experiments/exp_015_ensemble_weight_grid.md,report,True,experiment report; secondary evidence checked against code/artifacts,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,6fa0a438f35e3cf8db1b0cf836f7039de61c71058f1aec4fcfcea27884c34760
team-b/experiments/exp_016_post_order_activity.md,report,True,experiment report; secondary evidence checked against code/artifacts,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,99f48d9e8e0a0341d322371b0125ab2ceeb22ab557f521dba45dcc2921bac334
team-b/experiments/exp_017_dist_head_post_order.md,report,True,experiment report; secondary evidence checked against code/artifacts,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,c5b5389c652f901e4003e6dce1e0fde0214b9263bfb35fd6c3207935dfa9444c
team-b/experiments/exp_018_catboost_blend.md,report,True,experiment report; secondary evidence checked against code/artifacts,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,538e602fc5168752dfd998c847061f1a364b078cd36c4912a0f0041792f6acc2
team-b/experiments/exp_019_behavior_v1_dist.md,report,True,experiment report; secondary evidence checked against code/artifacts,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,a9ae4fbb94e232f62cedafc81a39fc360ea156738063d0b4df0241bb1adeb2c4
team-b/experiments/exp_020_behavior_v1_slim.md,report,True,experiment report; secondary evidence checked against code/artifacts,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,0a46645c95719d83c946a91c2f94d45b9a7db6de1d98a8dc1756b74fdfdda34d
team-b/experiments/exp_021_submission_level_blends.md,report,True,experiment report; secondary evidence checked against code/artifacts,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,dfc9eceab379a67c7719eeecd8626bb518e70ac4f90714f54d00c5f838e7de17
team-b/experiments/exp_022_model_level_weight_grid.md,report,True,experiment report; secondary evidence checked against code/artifacts,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,6cbe7130adc251c30ec1dc3114c108eace2c5120cab928f96991d0dce6a9691f
team-b/experiments/exp_023_xgboost_blend.md,report,True,experiment report; secondary evidence checked against code/artifacts,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,28072e403fa97d81d29f85daa5ec7a486d3a1de2332379891b3c1568288a9af2
team-b/experiments/exp_024_cat_xgb_blend.md,report,True,experiment report; secondary evidence checked against code/artifacts,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,065e53988e0badbd7766579d300700c600df84956f6e470e199658ec4b5f8243
team-b/HISTORY.md,report,True,Team-B project file,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,4112570d8fa36fced76e1f1fea68a5a972381289ad949aab58ce54170a3f4e02
team-b/README.md,report,True,project overview,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,afafc8857b46f6e6f49c6f033144b1d86f3106c110a58315e1767fefe8a8cf8a
team-b/requirements.txt,config,True,Team-B project file,n/a,n/a,n/a,two OOT folds for late ensemble scripts; report/table only otherwise,n/a,n/a,artifact hashable,PRESENT,,,60a1e20292aba7d5d9166776ba87680d06e59bb537447910d04c467679784d29
team-b/src/__init__.py,source,True,Team-B project file,y30 raw/log1p or 16-bin log1p,"see src/features.py; recency=152, long_buy_post_order=215, behavior_v1=329",script-local; exp024 TEST uses 2025-08-28..2025-10-16,two OOT folds for late ensemble scripts; report/table only otherwise,available in submit/predict scripts; no persisted TEST vector in team-b,"pandas,numpy,scikit-learn,lightgbm,catboost,xgboost,pyarrow,duckdb",source present; dependencies unpinned; cache lacks code/data fingerprint,PRESENT,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
