contradiction_id,experiment_id,category,statement,source_a,source_b,resolution,impact
C0001,team_a_current:EXP-004,missing_evidence_or_provenance_gap,E03d named but numeric result unavailable,experiments/team_a_current/exp_004_s1_e03_history_depth.md,"[""report references experiment outputs; exhaustive key list not normalized""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0002,team_a_current:EXP-015,contradiction_or_documented_tension,LB 1.6512012383165489 cannot be bound to either submission filename,experiments/team_a_current/exp_015_last_fold_only.md,"[""both submission files exist""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0003,team_a_current:EXP-016,contradiction_or_documented_tension,"pre-submit 'do not submit' versus later file/LB is a temporal action change, not a numeric contradiction",experiments/team_a_current/exp_016_validator_calibration.md,"[""OOF and submission references exist""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0004,team_a_s2:EXP-011,contradiction_or_documented_tension,"machine auto-selection selected_k=8 versus documented/final K=5; explicit policy override, not hidden numeric conflict",experiments/team_a_s2/exp_011_s2_k_calibration.md,"[""s2_k_grid.json, s2_sigma_ablation.json and logs exist""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0005,team_a_s2:EXP-012,audit_caveat,"manifest rounds LB to 1.6619325; report gives full precision, compatible rounding",experiments/team_a_s2/exp_012_s2_best_submission.md,"[""18 direct S2 machine artifacts plus copied 250k submission; s2_oof_best.json and s2_final.json verify metrics/schema""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0006,team_b_alt:EXP-005,comparability_warning,not directly comparable to core log-shift calibration,experiments/team_b_alt/exp_005_scale_calibration.md,"[""no machine evidence""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0007,team_a_current:EXP-019,audit_caveat,DIST has G30/G60/G120 but no completed G90 selected arm.,experiments/team_a_current/exp_019_gap_axis.md,"[""artifacts/gap_axis_S1-GAPAXIS-FINAL.json; artifacts/gap_axis_S1-GAPAXIS-FINAL_{curve,selected}.csv; artifacts/oof_GAP-*.npz; research/strategies/results/STRATEGY_01/*.csv; src/gapval.py"",""direct stress metrics referenced"",""strong machine JSON/CSV plus selected OOF banks""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0008,team_a_current:EXP-019,comparability_warning,The machine result is a stress protocol; presenting its delta as ordinary model CV would be invalid.,experiments/team_a_current/exp_019_gap_axis.md,"[""artifacts/gap_axis_S1-GAPAXIS-FINAL.json; artifacts/gap_axis_S1-GAPAXIS-FINAL_{curve,selected}.csv; artifacts/oof_GAP-*.npz; research/strategies/results/STRATEGY_01/*.csv; src/gapval.py"",""direct stress metrics referenced"",""strong machine JSON/CSV plus selected OOF banks""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0009,team_a_current:EXP-020,audit_caveat,"OOF files use different row order, so positional comparison fails; (cutoff,user_id) sorting gives exact key and target parity.",experiments/team_a_current/exp_020_train_blocks_zero.md,"[""OOF/model references exist"",""artifacts/sample_design_S1-SAMPLE-A-FINAL.json; artifacts/oof_SAMPLE-TB0-AVG3-R200.npz; artifacts/oof_SAMPLE-TB1-AVG3-R300.npz; research/strategies/results/STRATEGY_02/*.csv; src/sampleval.py"",""strong machine JSON + full OOF""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0010,team_a_current:EXP-020,audit_caveat,oof_SAMPLE-BASELINE-B-AVG3-R300.npz and oof_SAMPLE-TB1-AVG3-R300.npz are array-identical aliases but byte hashes differ due to NPZ packaging.,experiments/team_a_current/exp_020_train_blocks_zero.md,"[""OOF/model references exist"",""artifacts/sample_design_S1-SAMPLE-A-FINAL.json; artifacts/oof_SAMPLE-TB0-AVG3-R200.npz; artifacts/oof_SAMPLE-TB1-AVG3-R300.npz; research/strategies/results/STRATEGY_02/*.csv; src/sampleval.py"",""strong machine JSON + full OOF""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0011,team_a_current:EXP-021,audit_caveat,A nominally meaningful FULL representation does not beat its shuffled-profile control; the tiny negative delta to baseline is not mechanism evidence.,experiments/team_a_current/exp_021_personal_time.md,"[""artifacts/report_PT-{OD,FULL,SHUF}-AVG3.json; artifacts/oof_PT-{OD,FULL,SHUF}-AVG3.npz; research/strategies/results/STRATEGY_08/*.csv; src/ptime.py; src/ptime_eval.py"",""real/shuffled OOF references exist"",""strong report JSON + full OOF + control OOF""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0012,team_a_current:EXP-023,contradiction_or_documented_tension,Machine decision SEND_HIGH_RISK and physical submission coexist with a strictly worse four-fold CV.,experiments/team_a_current/exp_023_holiday_yoy.md,"[""research/strategies/results/HOLIDAY-YOY/{diagnostic_summary.json,fast_summary.json,fast_cv_folds.csv}; artifacts/oof_HOLIDAY-YOY-FAST.npz; artifacts/ztest_HOLIDAY-YOY-FAST.npy; submissions/submission_HOLIDAY-YOY.csv sha256:41c551a62a663d29382d3d82274f075f223ffe8e0989ecef4c71efd53e9456aa; src/holiday_yoy.py"",""strong machine JSON/OOF + exact submission reconstruction"",""submission exists; partial DIST retrain stopped after two folds""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
