cluster_id,canonical_experiment,related_experiment_or_artifact,relation_type,collapse_for_unique_hypothesis_count,evidence,information_preserved,notes
D001,team_a_current:EXP-032,"[""team_a_current:EXP-032-MANIFEST""]",duplicate_document_for_same_experiment,yes,"[""experiments/team_a_current/EXP_032_S04_conditional_fresh_seq.md"",""experiments/team_a_current/exp_032_s04_cond_fresh_pilot.md""]",yes,two reports describe one experiment unit
D002,team_a_current:EXP-030,"[""team_a_current:EXP-030B"",""team_a_current:EXP-030C""]",seed_and_multiseed_rerun_series,yes,"[""experiments/team_a_current/exp_030_seq_depth_curriculum.md"",""experiments/team_a_current/exp_030b_seq_d3a_seed43.md"",""experiments/team_a_current/exp_030c_seq_d3a_multiseed.md""]",yes,runs are retained; novelty is the same depth-curriculum hypothesis
D003,team_b_core:EXP-005,"[""team_b_core:EXP-031""]",exact_semantic_replay,yes,"[""experiments/team_b_core/exp_005_multicutoff.md"",""experiments/team_b_core/exp_031_multicutoff.md""]",yes,same decision mean and delta under the same protocol
D004,team_a_current:EXP-020,"[""SAMPLE-BASELINE-B-AVG3"",""SAMPLE-TB1-AVG3""]",array_identical_artifact_aliases,no,"[""experiments/team_a_current/exp_020_train_blocks_zero.md""]",yes,NPZ package hashes differ; aligned arrays are identical
D005,team_a_current:EXP-029,"[""team_a_current:EXP-030""]",shared_array_identical_V1016_baseline,no,"[""experiments/team_a_current/exp_029_seq_avail_aug.md"",""experiments/team_a_current/exp_030_seq_depth_curriculum.md""]",yes,baseline artifact is shared; hypotheses differ
D006,team_a_current:EXP-032,"[""team_a_current:EXP-032B""]",bitwise_reuse_of_conditional_predictions,no,"[""experiments/team_a_current/exp_032_s04_cond_fresh_pilot.md"",""experiments/team_a_current/exp_032b_prod_extensive.md""]",yes,EXP032B changes only the extensive activity composition
D007,team_a_current:EXP-038,"[""FNL-BASE-R2-S42""]",stochastic_same_seed_control_rerun,no,"[""experiments/team_a_current/exp_038_fnl_future_funnel.md""]",yes,"observed execution-noise control, not a new hypothesis"
D008,team_a_current:EXP-043,"[""DET-PAIR-RUN2""]",exact_internal_replay,no,"[""experiments/team_a_current/exp_043_det_pair.md""]",yes,"predictions, optimizer/model/RNG snapshots and hashes match run1"
D009,team_a_current:EXP-047,"[""team_a_current:EXP-051""]",numerical_oof_replay_with_distinct_production,no,"[""experiments/team_a_current/exp_047_btyd_day_bgnbd_residual.md"",""experiments/team_a_current/exp_051_btyd_stable_production.md""]",yes,production optimizer and test artifacts changed
D010,team_a_current:EXP-067,"[""AUTHORITATIVE-LATEST-V1""]",partial_duplicate_directory,no,"[""experiments/team_a_current/exp_067_authoritative_latest_integration.md""]",yes,V2 is canonical; some files identical and some audit outputs changed
D011,team_a_current:EXP-061,"[""team_a_current:EXP-062"",""team_a_current:EXP-064"",""team_a_current:EXP-052"",""team_a_current:EXP-054"",""team_a_current:EXP-055""]",baseline_identical_zero_correction_outputs,no,"[""experiments/team_a_current/exp_052_channel_shapley_split.md"",""experiments/team_a_current/exp_054_burst_gap_etx.md"",""experiments/team_a_current/exp_055_landmark_memory_etx.md"",""experiments/team_a_current/exp_061_open_funnel.md"",""experiments/team_a_current/exp_062_platform_detrend.md"",""experiments/team_a_current/exp_064_event_order.md""]",yes,distinct hypotheses terminate at a zero correction on different scopes
